fore_name_simple	n_authors	genderize_sample_size	query_date	probability_male
david	3081	501011	2019-09-20	0.99
michael	2844	245870	2019-09-20	0.99
john	1720	218952	2019-09-20	0.99
thomas	1646	176440	2019-09-20	0.99
daniel	1623	317409	2019-09-20	0.99
peter	1608	165452	2019-09-20	0.99
robert	1536	177418	2019-09-20	0.99
andrew	1264	60301	2019-09-20	0.99
james	1254	117309	2019-09-20	0.99
mark	1223	119313	2019-09-20	0.99
martin	1119	180687	2019-09-20	0.98
richard	1021	101928	2019-09-20	0.99
paul	1003	148099	2019-09-20	0.99
alexander	963	66065	2019-09-20	0.99
matthew	936	35521	2019-09-20	1.0
christopher	883	53539	2019-09-20	0.99
william	870	64097	2019-09-20	0.99
eric	831	135071	2019-09-20	0.99
christian	749	156233	2019-09-20	0.99
andreas	724	71365	2019-09-20	0.99
jonathan	709	87986	2019-09-20	0.99
stephen	684	36980	2019-09-20	0.99
steven	618	61542	2019-09-20	0.99
benjamin	608	62465	2019-09-20	0.99
jan	604	142869	2019-09-20	0.95
stefan	569	83987	2019-09-20	0.98
kevin	544	157365	2019-09-20	0.99
wei	538	5779	2019-09-20	0.72
adam	536	116396	2019-09-20	0.98
marco	493	357670	2019-09-20	0.99
brian	492	51483	2019-09-20	0.99
anna	487	383713	2019-09-20	0.020000000000000018
simon	487	71276	2019-09-20	0.98
marc	484	116213	2019-09-20	0.99
maria	482	334287	2019-09-20	0.020000000000000018
jeffrey	469	22034	2019-09-20	0.99
chris	463	156083	2019-09-20	0.9
charles	461	49331	2019-09-20	0.99
philip	455	21882	2019-09-20	0.99
andrea	446	302977	2019-09-20	0.62
jun	437	8911	2019-09-20	0.9
timothy	434	13105	2019-09-20	0.99
jason	432	63418	2019-09-20	0.99
patrick	420	153288	2019-09-20	0.99
joseph	409	60259	2019-09-20	0.99
george	409	65488	2019-09-20	0.98
joshua	408	20919	2019-09-20	0.99
alex	408	411319	2019-09-20	0.9
nicolas	391	116713	2019-09-20	0.99
nicholas	387	16755	2019-09-20	0.99
sebastian	384	81792	2019-09-20	0.99
scott	382	31815	2019-09-20	0.99
edward	362	22248	2019-09-20	0.99
frank	361	82391	2019-09-20	0.99
christoph	356	17656	2019-09-20	1.0
olivier	355	76702	2019-09-20	0.99
juan	352	274814	2019-09-20	0.98
yang	351	3869	2019-09-20	0.64
ian	348	27117	2019-09-20	0.99
alan	347	39948	2019-09-20	0.99
li	342	5785	2019-09-20	0.37
markus	341	47703	2019-09-20	1.0
pierre	338	91174	2019-09-20	0.99
lei	338	2362	2019-09-20	0.49
vincent	336	79107	2019-09-20	0.99
jing	335	2653	2019-09-20	0.25
tim	333	47038	2019-09-20	0.99
samuel	329	59464	2019-09-20	0.99
anthony	326	98251	2019-09-20	0.99
oliver	321	32776	2019-09-20	0.99
jennifer	314	90255	2019-09-20	0.020000000000000018
matthias	313	26402	2019-09-20	1.0
laura	312	288403	2019-09-20	0.020000000000000018
ivan	311	117756	2019-09-20	0.99
stefano	299	95107	2019-09-20	0.99
lars	297	22753	2019-09-20	0.99
sarah	297	174584	2019-09-20	0.020000000000000018
erik	293	36091	2019-09-20	0.99
yan	292	10113	2019-09-20	0.75
jian	289	1562	2019-09-20	0.9
antonio	288	328654	2019-09-20	0.99
josé	287	2086	2019-09-20	0.97
ryan	284	45164	2019-09-20	0.99
paolo	283	102713	2019-09-20	0.99
anne	278	78727	2019-09-20	0.030000000000000027
florian	276	57806	2019-09-20	0.99
jie	276	1619	2019-09-20	0.57
yu	273	4500	2019-09-20	0.54
vladimir	272	24429	2019-09-20	0.99
gregory	271	25701	2019-09-20	0.99
carlos	267	236888	2019-09-20	0.99
johannes	266	13733	2019-09-20	0.99
elizabeth	265	31288	2019-09-20	0.010000000000000009
xin	265	1592	2019-09-20	0.48
gary	264	29381	2019-09-20	0.99
mario	262	168958	2019-09-20	0.99
sean	262	25765	2019-09-20	0.99
jens	259	23807	2019-09-20	0.99
dan	259	55986	2019-09-20	0.95
douglas	258	9529	2019-09-20	0.99
philippe	257	82618	2019-09-20	0.99
francesco	256	196032	2019-09-20	0.99
francisco	254	98797	2019-09-20	0.99
aaron	251	24633	2019-09-20	0.99
alessandro	250	126666	2019-09-20	0.99
tom	250	126230	2019-09-20	0.99
hong	249	3894	2019-09-20	0.65
yi	246	2044	2019-09-20	0.5
nathan	245	20181	2019-09-20	0.99
christine	239	91004	2019-09-20	0.010000000000000009
jeremy	238	48233	2019-09-20	0.99
hao	235	1289	2019-09-20	0.89
kai	233	17357	2019-09-20	0.93
tobias	233	31474	2019-09-20	1.0
ying	226	3620	2019-09-20	0.14
kenneth	225	20666	2019-09-20	0.98
miguel	222	158479	2019-09-20	0.99
tao	222	1883	2019-09-20	0.86
yves	217	27837	2019-09-20	0.98
hui	217	3357	2019-09-20	0.29000000000000004
victor	216	94927	2019-09-20	0.99
alberto	215	124347	2019-09-20	0.99
joel	211	42048	2019-09-20	0.98
giovanni	210	104824	2019-09-20	0.99
manuel	209	166605	2019-09-20	0.99
luis	209	176693	2019-09-20	0.99
igor	209	35328	2019-09-20	0.99
susan	209	32184	2019-09-20	0.020000000000000018
jose	209	451671	2019-09-20	0.98
bo	208	6996	2019-09-20	0.79
lin	208	6642	2019-09-20	0.37
bernhard	207	4969	2019-09-20	1.0
roberto	206	151858	2019-09-20	0.99
yong	206	4622	2019-09-20	0.88
michal	206	62499	2019-09-20	0.99
nicola	204	60815	2019-09-20	0.85
christophe	204	90978	2019-09-20	0.99
pedro	203	165413	2019-09-20	0.99
justin	203	29577	2019-09-20	0.98
marcel	203	63607	2019-09-20	0.99
feng	202	1355	2019-09-20	0.79
stephan	202	21077	2019-09-20	0.99
julia	201	106666	2019-09-20	0.030000000000000027
laurent	198	84979	2019-09-20	0.99
barbara	197	94709	2019-09-20	0.020000000000000018
ralf	194	16387	2019-09-20	0.99
sara	194	244324	2019-09-20	0.020000000000000018
neil	194	15028	2019-09-20	0.99
olga	193	80307	2019-09-20	0.020000000000000018
rui	193	38514	2019-09-20	0.98
fabian	193	27337	2019-09-20	0.99
marta	192	184145	2019-09-20	0.020000000000000018
gabriel	192	52559	2019-09-20	0.98
julie	190	116926	2019-09-20	0.020000000000000018
jörg	188	628	2019-09-20	0.99
wolfgang	187	12915	2019-09-20	0.99
ana	187	273767	2019-09-20	0.020000000000000018
min	186	7493	2019-09-20	0.57
elena	185	149871	2019-09-20	0.010000000000000009
pablo	183	76709	2019-09-20	0.99
dirk	183	23736	2019-09-20	0.99
andré	183	3	2019-09-20	1.0
matteo	181	69199	2019-09-20	0.99
karen	181	48557	2019-09-20	0.050000000000000044
roger	180	38190	2019-09-20	0.98
hans	180	37182	2019-09-20	0.97
alexandre	179	61354	2019-09-20	0.99
christina	179	35006	2019-09-20	0.020000000000000018
ruth	179	28718	2019-09-20	0.020000000000000018
ben	178	77991	2019-09-20	0.95
ali	178	319583	2019-09-20	0.95
rainer	178	7008	2019-09-20	0.99
roland	178	30706	2019-09-20	0.99
jean	177	196185	2019-09-20	0.95
steffen	176	12961	2019-09-20	1.0
ron	175	15585	2019-09-20	0.98
luca	175	185452	2019-09-20	0.96
anders	175	12623	2019-09-20	0.99
peng	174	1286	2019-09-20	0.84
adrian	174	90344	2019-09-20	0.99
francesca	173	106743	2019-09-20	0.010000000000000009
jessica	172	144795	2019-09-20	0.020000000000000018
keith	172	14549	2019-09-20	0.98
yun	170	2421	2019-09-20	0.48
rafael	170	45829	2019-09-20	0.99
guillaume	169	58261	2019-09-20	0.99
bin	169	3575	2019-09-20	0.91
bruce	168	10698	2019-09-20	0.98
catherine	166	50312	2019-09-20	0.020000000000000018
mary	165	142684	2019-09-20	0.010000000000000009
ming	163	2947	2019-09-20	0.74
rob	162	32016	2019-09-20	0.98
bruno	161	103169	2019-09-20	0.99
eugene	160	8915	2019-09-20	0.95
jin	160	7587	2019-09-20	0.7
javier	158	106497	2019-09-20	0.99
diego	157	85672	2019-09-20	0.99
karl	155	20591	2019-09-20	0.98
colin	154	13002	2019-09-20	0.98
bernard	154	38897	2019-09-20	0.98
stuart	154	10695	2019-09-20	0.99
julio	153	37832	2019-09-20	0.98
teresa	152	51700	2019-09-20	0.020000000000000018
claudia	152	118604	2019-09-20	0.020000000000000018
chen	152	5003	2019-09-20	0.62
qi	151	445	2019-09-20	0.64
dennis	151	61118	2019-09-20	0.99
rolf	150	7534	2019-09-20	0.99
ronald	150	23684	2019-09-20	0.99
pavel	150	62180	2019-09-20	0.98
anton	149	25344	2019-09-20	0.97
johan	149	41501	2019-09-20	0.99
rebecca	148	36835	2019-09-20	0.020000000000000018
carl	148	17561	2019-09-20	0.98
michele	148	88388	2019-09-20	0.86
caroline	147	64753	2019-09-20	0.020000000000000018
