year	full_name	fore_name	last_name	conference	source	affiliations	afflcountries
2009	Michael Waterman	Michael	Waterman	ISCB Fellow		University of Southern California	United States
2009	Temple Smith	Temple	Smith	ISCB Fellow		Boston University	United States
2009	Janet Thornton	Janet	Thornton	ISCB Fellow		EMBL-EBI	United Kingdom
2009	David Sankoff	David	Sankoff	ISCB Fellow		University of Ottawa	Canada
2009	David Lipman	David	Lipman	ISCB Fellow		Impossible Foods	United States
2009	David Haussler	David	Haussler	ISCB Fellow		University of California Santa Cruz	United States
2010	Alfonso Valencia	Alfonso	Valencia	ISCB Fellow		Barcelona Supercomputing Center & Spanish National Bioinformatics Institute	Spain
2010	Gary Stormo	Gary	Stormo	ISCB Fellow		Washington University	United States
2010	Chris Sander	Chris	Sander	ISCB Fellow		Memorial Sloan-Kettering Cancer Center	United States
2010	Lawrence Hunter	Lawrence	Hunter	ISCB Fellow		University of Colorado	United States
2010	Russ Altman	Russ	Altman	ISCB Fellow		Stanford University	United States
2011	Richard Durbin	Richard	Durbin	ISCB Fellow		Wellcome Trust Sanger Institute	United Kingdom
2011	Philip Bourne	Philip	Bourne	ISCB Fellow		University of Virginia	United States
2011	Soren Brunak	Soren	Brunak	ISCB Fellow		Novo Nordisk Foundation	Denmark
2011	Julio Collado-Vides	Julio	Collado-Vides	ISCB Fellow		UNAM	Mexico
2011	Michael Ashburner	Michael	Ashburner	ISCB Fellow		University of Cambridge	United Kingdom
2012	Martin Vingron	Martin	Vingron	ISCB Fellow		Max Planck Institute for Molecular Genetics	Germany
2012	Gunnar von Heijne	Gunnar	Heijne	ISCB Fellow		Stockholm University	Sweden
2012	Ron Shamir	Ron	Shamir	ISCB Fellow		Tel Aviv University	Israel
2012	Pavel Pevzner	Pavel	Pevzner	ISCB Fellow		University of California San Diego	United States
2012	Jill Mesirov	Jill	Mesirov	ISCB Fellow		The Broad Institute	United States
2012	Peter Karp	Peter	Karp	ISCB Fellow		SRI International	United States
2012	Bonnie Berger	Bonnie	Berger	ISCB Fellow		Massachusetts Institute of Technology	United States
2013	Steven Salzberg	Steven	Salzberg	ISCB Fellow		Johns Hopkins University	United States
2013	Eugene W Myers	Eugene	Myers	ISCB Fellow		MPI-CBG	Germany
2013	Ruth Nussinov	Ruth	Nussinov	ISCB Fellow		Tel Aviv University|National Cancer Institute	Israel|United States
2013	Webb Miller	Webb	Miller	ISCB Fellow		Penn State University	United States
2013	Satoru Miyano	Satoru	Miyano	ISCB Fellow		University of Tokyo	Japan
2013	Minoru Kanehisa	Minoru	Kanehisa	ISCB Fellow		Kyoto University	Japan
2013	David Eisenberg	David	Eisenberg	ISCB Fellow		University of California Los Angeles	United States
2013	Pierre Baldi	Pierre	Baldi	ISCB Fellow		University of California Irvine	United States
2014	Andrej Sali	Andrej	Sali	ISCB Fellow		University of California San Francisco	United States
2014	Nir Friedman	Nir	Friedman	ISCB Fellow		Hebrew University Jerusalem	Israel
2014	Robert Gentleman	Robert	Gentleman	ISCB Fellow		23andMe	United States
2014	Ewan Birney	Ewan	Birney	ISCB Fellow		EMBL-EBI	United Kingdom
2014	Amos Bairoch	Amos	Bairoch	ISCB Fellow		University of Geneva	Switzerland
2015	Burkhard Rost	Burkhard	Rost	ISCB Fellow		Technical University Munich	Germany
2015	Michael Levitt	Michael	Levitt	ISCB Fellow		Stanford University	United States
2015	Desmond Higgins	Desmond	Higgins	ISCB Fellow		University College, Dublin	Ireland
2015	Thomas Lengauer	Thomas	Lengauer	ISCB Fellow		Max-Planck Institute for Informatics	Germany
2015	Mark Gerstein	Mark	Gerstein	ISCB Fellow		Yale University	United States
2015	Cyrus Chothia	Cyrus	Chothia	ISCB Fellow		Wolfson College Cambridge University	United Kingdom
2015	Rolf Apweiler	Rolf	Apweiler	ISCB Fellow		EMBL-EBI	United Kingdom
2016	Shoshana Wodak	Shoshana	Wodak	ISCB Fellow		Sick Kids	Canada
2016	Haim Wolfson	Haim	Wolfson	ISCB Fellow		Tel Aviv University	Israel
2016	Lincoln Stein	Lincoln	Stein	ISCB Fellow		Ontario Institute for Cancer Research	Canada
2016	Sarah Teichmann	Sarah	Teichmann	ISCB Fellow		EMBL-EBI	United Kingdom
2016	Anna Tramontano	Anna	Tramontano	ISCB Fellow		University of Rome	Italy
2016	Aviv Regev	Aviv	Regev	ISCB Fellow		Broad Institute	United States
2016	Christine Orengo	Christine	Orengo	ISCB Fellow		University College London	United Kingdom
2016	Michal Linial	Michal	Linial	ISCB Fellow		Hebrew University Jerusalem	Israel
2016	Barry Honig	Barry	Honig	ISCB Fellow		Columbia University	United States
2016	Janet Kelso	Janet	Kelso	ISCB Fellow		MPI for Evolutionary Anthropology	Germany
2016	Dan Gusfield	Dan	Gusfield	ISCB Fellow		University of California Davis	United States
2016	Helen Berman	Helen	Berman	ISCB Fellow		Rutgers University	United States
2016	Steven Brenner	Steven	Brenner	ISCB Fellow		University of California Berkeley	United States
2017	Tandy Warnow	Tandy	Warnow	ISCB Fellow		University of Illinois Urbana-Champaign	United States
2017	Olga Troyanskaya	Olga	Troyanskaya	ISCB Fellow		Princeton University|Simons Foundation	United States
2017	William Noble	William	Noble	ISCB Fellow		University of Washington	United States
2017	Lior Pachter	Lior	Pachter	ISCB Fellow		Caltech	United States
2017	Anders Krogh	Anders	Krogh	ISCB Fellow		University of Copenhagen	Denmark
2017	Andrea Califano	Andrea	Califano	ISCB Fellow		Columbia-Presbyterian Medical Center	United States
2017	Alex Bateman	Alex	Bateman	ISCB Fellow		EMBL-EBI	United Kingdom
2018	Mike Steel	Mike	Steel	ISCB Fellow		Canterbury University	New Zealand
2018	Mona Singh	Mona	Singh	ISCB Fellow		Princeton University	United States
2018	Bernard Moret	Bernard	Moret	ISCB Fellow		Polytechnique Federale de Laussane	Switzerland
2018	William Pearson	William	Pearson	ISCB Fellow		University of Virginia	United States
2018	Hanah Margalit	Hanah	Margalit	ISCB Fellow		Hebrew University	Israel
2018	Yves Moreau	Yves	Moreau	ISCB Fellow		Katholieke Universiteit Leuven	Belgium
2018	Terry Gaasterland	Terry	Gaasterland	ISCB Fellow		University of California San Diego	United States
2018	Patricia Babbit	Patricia	Babbit	ISCB Fellow		University of California San Francisco	United States
2019	Vineet Bafna	Vineet	Bafna	ISCB Fellow		Unicersity of California San Diego	United States
2019	Eleazar Eskin	Eleazar	Eskin	ISCB Fellow		University of California Los Angeles	United States
2019	Shirley Liu	Shirley	Liu	ISCB Fellow		Harvard University	United States
2019	Marie-France Sagot	Marie-France	Sagot	ISCB Fellow		Universite Claude Bernard	France
2020	Serafim Batzoglou	Serafim	Batzoglou	ISCB Fellow	https://www.iscb.org/iscb-fellows	Stanford University	United States
2020	Judith Blake	Judith	Blake	ISCB Fellow	https://www.iscb.org/iscb-fellows	The Jackson Laboratory	United States
2020	Mark Borodovsky	Mark	Borodovsky	ISCB Fellow	https://www.iscb.org/iscb-fellows	Georgia Institute of Technology	United States
2020	Rita Casadio	Rita	Casadio	ISCB Fellow	https://www.iscb.org/iscb-fellows	University of Bologna	Italy
2020	Paul Flicek	Paul	Flicek	ISCB Fellow	https://www.iscb.org/iscb-fellows	EMBL-EBI	United Kingdom
